trade_date,contract_rows,P_contract_rows,P_volume,P_amount,P_interest,C_contract_rows,C_volume,C_amount,C_interest,near_put_interest_share,far_put_interest_share,near_interest_share,put_interest_term_spread,matched_put_interest_growth,matched_call_interest_growth,matched_interest_imbalance,matched_contract_rows,matched_prior_interest_coverage
20201117,106,53,617165,29217.428900000006,1215811,53,758675,44942.788299999993,1492694,0.41912752936814623,0.47887147512015205,0.50189347998249956,-0.059743945752005811,,,,0,
20201118,106,53,910873,43184.492799999993,1228011,53,1364811,78570.091700000004,1486754,0.42595323490892867,0.47691163155907029,0.48208739983018789,-0.050958396650141624,0.010034454368318761,-0.0039793822444519778,0.0066974216403514119,106,1
20201119,106,53,846047,41181.165400000005,1283229,53,1116933,67348.796800000011,1428113,0.46520688179708314,0.48014469744057192,0.45942673406748391,-0.014937815643488783,0.044965395261117369,-0.039442301819937929,0.041940646796315706,106,1
20201120,106,53,653962,31278.031500000001,1276730,53,865528,48587.339099999997,1394580,0.47422315471100523,0.48063225447616786,0.41982809932205545,-0.0064090997651626291,-0.0050645675869233006,-0.023480634935750883,0.0099707082323071006,106,1
20201123,106,53,1134408,46223.356300000014,1315577,53,1879879,123042.70170000001,1308753,0.50792992838790274,0.45482846077075911,0.87514870462175109,0.053101467617143627,0.030426950099081248,-0.061543260336445381,0.046671483279739155,106,1
20201124,106,53,730729,33515.539900000003,1294832,53,1057486,60304.492200000001,1371213,0.48877301261790357,0.46434455444373129,0.87318931225842022,0.024428458174172274,-0.015768746337158523,0.047724818968896347,-0.031705235240994847,106,1
20201125,106,53,919844,43242.267500000002,1258845,53,1316986,80880.1731,1422919,0.46893250412375731,0.47259700808161864,0.86988415087979409,-0.0036645039578613314,-0.027792794740939365,0.037708218927329305,-0.03289254307410415,106,1
20201126,102,51,650685,36281.702699999994,993483,51,849316,56267.921700000006,1174844,0.45538495816407321,0.47020202761190744,0.81139652829116637,-0.01481706944783423,0.076820436104289583,0.054247454805298127,0.0050442576499699701,84,0.73945619375903326
20201127,102,51,809726,44332.525099999992,1090155,51,1274200,99990.137699999977,1205061,0.47593503894087791,0.47111844390413338,0.7993042920579152,0.0048165950367445309,0.097306144141369302,0.025720010486498635,0.030648052623059162,102,1
20201130,174,87,1570062,86392.383301999973,1196165,87,2665011,209611.82643199997,1371263,0.46451071991744858,0.47116329640121668,0.79114935258164976,-0.0066525764837681023,-0.063875320481949813,-0.11596923309276459,0.030548758809628374,102,1
