model,period,rows,correct,accuracy,balanced_accuracy,brier_score,always_up_accuracy,up_predictions,down_predictions,up_precision,down_precision
logistic_l2,2023-2024,484,262,0.5413223140495868,0.5413827843518946,0.24737757975912306,0.49793388429752067,249,235,0.5381526104417671,0.5446808510638298
logistic_l2,2023,242,125,0.5165289256198347,0.5153162393162394,0.25096319547574797,0.4834710743801653,112,130,0.5,0.5307692307692308
logistic_l2,2024,242,137,0.5661157024793388,0.564516129032258,0.24379196404249817,0.512396694214876,137,105,0.5693430656934306,0.5619047619047619
hist_gradient_boosting,2023-2024,484,260,0.5371900826446281,0.537199255502621,0.25135380032753335,0.49793388429752067,243,241,0.5349794238683128,0.5394190871369294
hist_gradient_boosting,2023,242,119,0.49173553719008267,0.4921367521367521,0.2548207164442268,0.4834710743801653,124,118,0.47580645161290325,0.5084745762711864
hist_gradient_boosting,2024,242,141,0.5826446280991735,0.5829004920721705,0.2478868842108399,0.512396694214876,119,123,0.5966386554621849,0.5691056910569106
extra_trees,2023-2024,484,271,0.5599173553719008,0.5599525297542818,0.2482832018126124,0.49793388429752067,246,238,0.556910569105691,0.5630252100840336
extra_trees,2023,242,133,0.5495867768595041,0.5492307692307692,0.25068778855644297,0.4834710743801653,118,124,0.5338983050847458,0.5645161290322581
extra_trees,2024,242,138,0.5702479338842975,0.5695735374521597,0.24587861506878186,0.512396694214876,128,114,0.578125,0.5614035087719298
always_up,2023-2024,484,241,0.49793388429752067,0.5,0.5020661157024794,0.49793388429752067,484,0,0.49793388429752067,
always_up,2023,242,117,0.4834710743801653,0.5,0.5165289256198347,0.4834710743801653,242,0,0.4834710743801653,
always_up,2024,242,124,0.512396694214876,0.5,0.48760330578512395,0.512396694214876,242,0,0.512396694214876,
training_prior,2023-2024,484,237,0.4896694214876033,0.4889008418284583,0.2504251713243793,0.49793388429752067,152,332,0.48026315789473684,0.4939759036144578
training_prior,2023,242,119,0.49173553719008267,0.49596581196581196,0.25034820874414754,0.4834710743801653,152,90,0.48026315789473684,0.5111111111111111
training_prior,2024,242,118,0.48760330578512395,0.5,0.25050213390461107,0.512396694214876,0,242,,0.48760330578512395
