ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
HSI,2020-01-02,28249.37,28543.52,28543.52,28245.97,28189.75,353.77,1.255,1.06,126273.28
HSI,2020-01-03,28828.36,28451.5,28883.3,28428.17,28543.52,-92.02,-0.3224,1.59,179790.48
HSI,2020-01-06,28326.5,28226.19,28367.87,28054.29,28451.5,-225.31,-0.7919,1.1,179342.66
HSI,2020-01-07,28352.68,28322.06,28473.08,28264.07,28226.19,95.87,0.3396,0.74,130268.72
HSI,2020-01-08,27999.58,28087.92,28198.61,27857.73,28322.06,-234.14,-0.8267,1.2,170924.16
HSI,2020-01-09,28367.65,28561.0,28561.0,28325.86,28087.92,473.08,1.6843,0.84,169278.62
HSI,2020-01-10,28665.14,28638.2,28665.14,28504.27,28561.0,77.2,0.2703,0.56,144840.1
HSI,2020-01-13,28772.37,28954.94,28971.4,28671.84,28638.2,316.74,1.106,1.05,176505.57
HSI,2020-01-14,29149.53,28885.14,29149.53,28790.49,28954.94,-69.8,-0.2411,1.24,164350.47
HSI,2020-01-15,28891.07,28773.59,28972.68,28619.1,28885.14,-111.55,-0.3862,1.22,124012.07
HSI,2020-01-16,28806.12,28883.04,28987.73,28709.57,28773.59,109.45,0.3804,0.97,162092.62
HSI,2020-01-17,28988.16,29056.42,29101.15,28813.13,28883.04,173.38,0.6003,1.0,154508.28
HSI,2020-01-20,29169.12,28795.91,29174.92,28795.42,29056.42,-260.51,-0.8966,1.31,163338.39
HSI,2020-01-21,28449.38,27985.33,28492.03,27980.5,28795.91,-810.58,-2.8149,1.78,223652.17
HSI,2020-01-22,28116.5,28341.04,28393.93,27937.68,27985.33,355.71,1.2711,1.63,134328.81
HSI,2020-01-23,28109.75,27909.12,28133.03,27706.37,28341.04,-431.92,-1.524,1.51,175326.3
HSI,2020-01-24,27935.42,27949.64,27977.63,27774.5,27909.12,40.52,0.1452,0.73,61212.87
HSI,2020-01-29,27101.54,27160.63,27333.3,27101.54,27949.64,-789.01,-2.823,0.83,220383.61
HSI,2020-01-30,27030.61,26449.13,27134.55,26330.05,27160.63,-711.5,-2.6196,2.96,222356.78
HSI,2020-01-31,26757.61,26312.63,26818.84,26295.49,26449.13,-136.5,-0.5161,1.98,187425.52
HSI,2020-02-03,26189.61,26356.98,26512.58,26145.59,26312.63,44.35,0.1686,1.39,242148.27
HSI,2020-02-04,26491.66,26675.98,26730.26,26491.66,26356.98,319.0,1.2103,0.91,250023.81
HSI,2020-02-05,26869.32,26786.74,26926.12,26641.92,26675.98,110.76,0.4152,1.07,249893.08
HSI,2020-02-06,27174.53,27493.7,27608.22,27029.49,26786.74,706.96,2.6392,2.16,224953.39
HSI,2020-02-07,27356.28,27404.27,27410.58,27224.12,27493.7,-89.43,-0.3253,0.68,146451.47
HSI,2020-02-10,27092.15,27241.34,27314.64,27044.88,27404.27,-162.93,-0.5945,0.98,161201.79
HSI,2020-02-11,27514.25,27583.88,27674.81,27436.99,27241.34,342.54,1.2574,0.87,186862.54
HSI,2020-02-12,27717.22,27823.66,27892.48,27614.83,27583.88,239.78,0.8693,1.01,179656.12
HSI,2020-02-13,27953.65,27730.0,27953.65,27695.6,27823.66,-93.66,-0.3366,0.93,161701.02
HSI,2020-02-14,27698.56,27815.6,27960.66,27695.59,27730.0,85.6,0.3087,0.96,144533.59
HSI,2020-02-17,27766.71,27959.6,28055.58,27766.71,27815.6,144.0,0.5177,1.04,141299.92
